Complaint,OffenseDescription,Description,Attempted,CategoryCode,Borough,Location,PremiseType
123456789,CRIMES OF PASSION,BROKEN HEART,COMPLETED,MISDEMEANOR,OREM,FRONT OF,RESIDENCE-HOUSE
886582913,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
943328243,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
341248014,FRAUDS,FRAUD UNCLASSIFIED-MISDEMEANOR,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
870475298,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
786875087,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,STREET
739715284,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
266492298,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,OTHER
668900991,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,CHAIN STORE
851953821,CRIMINAL TRESPASS,TRESPASS 2  CRIMINAL,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
454247838,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESTAURANT/DINER
930250505,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
159308130,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
299065472,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
814110689,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
741667576,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
360294329,BURGLARY,BURGLARY COMMERCIAL DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,VARIETY STORE
708426099,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,OTHER
791508782,DANGEROUS DRUGS,MARIJUANA  POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,STATEN ISLAND,OPPOSITE OF,GAS STATION
784853563,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,DOCTOR/DENTIST OFFICE
752272352,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
595822654,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
231021221,GRAND LARCENY,LARCENY GRAND BY OPEN/COMPROMISE CELL PHONE ACCT,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
539906708,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
436537842,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
437129348,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
316668378,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,,STREET
283828013,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
672026399,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
359161279,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
642268009,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
433700416,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
651154739,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
552505809,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
130249773,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
987106921,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
489675122,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
134107093,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
189795981,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,PUBLIC SCHOOL
478192487,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,,BUS (NYC TRANSIT)
952381566,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,,BUS (NYC TRANSIT)
591362750,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
702454807,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,FOOD SUPERMARKET
325658450,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,FOOD SUPERMARKET
338671368,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
300729216,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET
973969238,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
569717685,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
915806016,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
748794045,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
507386799,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
840432908,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
105642683,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
623309360,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET
225778723,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
301333207,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
368669035,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
577618311,PETIT LARCENY,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET
781184382,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
779106220,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
248445640,GRAND LARCENY,LARCENY GRAND FROM RESIDENCE  UNATTENDED,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
602292134,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
850284349,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
844042501,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
387220811,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
586526952,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
323746527,PETIT LARCENY,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
223842284,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
974076659,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
438267533,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
159788915,BURGLARY,BURGLARY RESIDENCE NIGHT,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
643842465,GRAND LARCENY,LARCENY GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE
335030687,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
903276024,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,HIGHWAY/PARKWAY
233656264,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,HIGHWAY/PARKWAY
665191088,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
700148047,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,,OPEN AREAS (OPEN LOTS)
153235289,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
460656319,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
375335481,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
507159617,PETIT LARCENY,LARCENY PETIT FROM AUTO,ATTEMPTED,MISDEMEANOR,STATEN ISLAND,REAR OF,PARKING LOT/GARAGE (PRIVATE)
175027517,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
286338130,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
401106175,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET
239803590,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
378072535,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
483661316,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,CHAIN STORE
377105702,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,DEPARTMENT STORE
595569755,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,QUEENS,,OPEN AREAS (OPEN LOTS)
648393383,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,PARKING LOT/GARAGE (PUBLIC)
283112496,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,CHAIN STORE
495937837,BURGLARY,BURGLARY COMMERCIAL NIGHT,COMPLETED,FELONY,STATEN ISLAND,INSIDE,TELECOMM. STORE
363090612,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,TELECOMM. STORE
811535963,VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
419345768,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,FOOD SUPERMARKET
389703959,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,STREET
992242250,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,BOOK/CARD
662838044,PETIT LARCENY,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE
386273922,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET
365491860,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,PARKING LOT/GARAGE (PUBLIC)
436865346,GRAND LARCENY,LARCENY GRAND BY ACQUIRING LOST CREDIT CARD,COMPLETED,FELONY,BROOKLYN,,STREET
523935175,MISCELLANEOUS PENAL LAW,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING
391445745,FORGERY,FORGERY ETC. UNCLASSIFIED-FELO,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING
313215458,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
406033291,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
327846491,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
846475712,FRAUDS,IMPERSONATION 2  PUBLIC SERVAN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
139528012,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
329231162,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
229764161,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
873004714,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET
208066071,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
849919374,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
650368487,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
286373060,CRIMINAL TRESPASS,TRESPASS 2  CRIMINAL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
593651110,DANGEROUS DRUGS,CONTROLLED SUBSTANCE INTENT TO,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE
966771228,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
185662463,BURGLARY,BURGLARY COMMERCIAL NIGHT,ATTEMPTED,FELONY,STATEN ISLAND,REAR OF,BANK
999982283,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,BAR/NIGHT CLUB
286528916,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,,STREET
165505559,DANGEROUS DRUGS,DRUG PARAPHERNALIA    POSSESSE,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING
378417440,FORGERY,FORGERY ETC. UNCLASSIFIED-FELO,COMPLETED,FELONY,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING
675950816,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,PARKING LOT/GARAGE (PRIVATE)
658771890,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,REAR OF,OTHER
680294982,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,BROOKLYN,,STREET
202658889,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,GROCERY/BODEGA
630882459,ROBBERY,ROBBERY PERSONAL ELECTRONIC DEVICE,COMPLETED,FELONY,BROOKLYN,,STREET
728020627,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,TRANSIT FACILITY (OTHER)
378438217,BURGLARY,BURGLARY RESIDENCE NIGHT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
693196130,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE
925180620,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,STORE UNCLASSIFIED
308285635,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,COMMERCIAL BUILDING
306214686,GRAND LARCENY,LARCENY GRAND FROM RESIDENCE  UNATTENDED,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE
587375625,BURGLARY,BURGLARY TRUCK DAY,COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET
146213498,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
912336158,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
578366286,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
665136822,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,FRONT OF,OTHER
878934693,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHECK CASHING BUSINESS
711825870,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,,STREET
692555504,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER
404243815,ROBBERY,ROBBERY OPEN AREA UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,,STREET
905943543,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,,STREET
863950288,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
747843897,GRAND LARCENY OF MOTOR VEHICLE,LARCENY GRAND OF MOTORCYCLE,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET
723861859,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET
471126273,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
808068996,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,FAST FOOD
543844004,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESTAURANT/DINER
577567107,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BROOKLYN,INSIDE,STORE UNCLASSIFIED
899529651,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,GROCERY/BODEGA
470560074,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,CHAIN STORE
490234496,THEFT OF SERVICES,UNAUTH. SALE OF TRANS. SERVICE,COMPLETED,MISDEMEANOR,BROOKLYN,,TRANSIT - NYC SUBWAY
847861683,GRAND LARCENY OF MOTOR VEHICLE,LARCENY GRAND OF AUTO,COMPLETED,FELONY,BROOKLYN,,STREET
974308464,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE
470316260,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
529287530,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
520986476,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
930911294,ROBBERY,ROBBERY LICENSED FOR HIRE VEHICLE,COMPLETED,FELONY,BROOKLYN,REAR OF,STREET
445737449,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
602005296,DANGEROUS DRUGS,DRUG PARAPHERNALIA    POSSESSE,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING
960713363,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING
955945395,GRAND LARCENY,LARCENY GRAND BY DISHONEST EMP,COMPLETED,FELONY,BROOKLYN,INSIDE,TELECOMM. STORE
268219655,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,INSIDE,LIQUOR STORE
686891034,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,LIQUOR STORE
384281807,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
327047513,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
772569215,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE
584153928,ROBBERY,ROBBERY DWELLING,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
772793761,GRAND LARCENY,LARCENY GRAND FROM PERSON PURS,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET
759754155,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
769473547,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE
740898995,GRAND LARCENY,LARCENY GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES,COMPLETED,FELONY,STATEN ISLAND,,STREET
