Complaint,OffenseDescription,Description,Attempted,CategoryCode,Borough,Location,PremiseType
379875654,GRAND LARCENY OF MOTOR VEHICLE,LARCENY GRAND OF AUTO,COMPLETED,FELONY,BRONX,FRONT OF,STREET
250932121,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
798384645,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  SALE 5,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
345376531,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
255522444,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE
874334957,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,STREET
372427852,GRAND LARCENY,LARCENY GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED,COMPLETED,FELONY,BRONX,INSIDE,BEAUTY & NAIL SALON
880520457,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,BAR/NIGHT CLUB
379319822,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
365986471,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,COMPLETED,FELONY,BRONX,INSIDE,TRANSIT FACILITY (OTHER)
326745879,ROBBERY,ROBBERY OPEN AREA UNCLASSIFIED,COMPLETED,FELONY,BRONX,FRONT OF,STREET
174188955,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
256922797,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,FRONT OF,STREET
330427785,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
374528773,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  POSSESSI,COMPLETED,MISDEMEANOR,BRONX,,STREET
225583379,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,BRONX,,STREET
423468752,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,BRONX,,STREET
296168974,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,OTHER
