0 63
3 27
6 23
9 23
12 21
15 81
18 208
21 259
24 270
27 259
30 263
33 175
36 195
39 165
42 113
45 107
48 83
51 33
54 35
57 28
60 19
63 17
66 3
69 6
72 1
